cell_id,red,green,blue
1,217.42,6.2,2.21
2,294.74,30.55,4.97
3,191.59,2.56,1.5
4,203.36,5.11,2.8
5,107.43,20.62,5.17
6,251.89,19.68,6.31
7,181.94,10.71,2.52
8,161.02,12.17,2.02
9,113.38,6.75,2.37
10,207.56,23.66,3.96
11,345.19,15.79,3.55
12,67.24,24.23,4.3
13,92.47,30.21,3.69
14,135.19,6.03,2.61
15,107.87,4.77,9.59
16,163.78,6.86,1.98
17,225.79,13.07,3.81
18,253.81,16.39,6.19
19,395.8,9.17,3.87
20,169.75,24.52,4.1
21,78.47,15.27,3.02
22,145.84,4.12,2.22
23,201.79,33.7,2.35
24,78.11,7.41,1.95
25,116.0,4.57,1.25
26,1511.26,7.84,34.58
27,1266.92,6.58,40.68
28,1678.5,5.81,41.81
29,1083.85,5.95,39.24
30,412.09,12.8,3.82
31,1022.69,11.62,18.85
32,320.78,13.82,3.28
33,323.52,10.23,2.9
34,213.45,7.05,2.23
35,1770.56,2.36,32.16
36,720.07,6.68,27.07
37,89.43,6.09,2.13
38,52.12,15.35,3.59
39,208.52,13.4,4.26
40,571.81,17.06,37.45
41,254.71,11.98,34.6
42,150.8,8.29,1.85
43,124.27,15.25,7.18
44,1062.74,7.37,36.03
45,56.74,8.04,3.47
46,136.5,3.5,0
47,1148.63,2.14,26.43
48,922.78,2.2,25.09
49,1159.52,2.3,36.23
50,75.55,13.08,2.12
51,162.07,31.64,3.9
52,239.8,9.15,2.91
53,79.84,11.91,2.36
54,538.35,2.64,28.48
55,161.66,5.5,2.33
56,302.36,12.52,40.14
57,245.68,11.32,2.92
58,810.19,5.57,28.21
59,698.8,5.17,25.71
60,940.94,2.09,28.41
61,220.19,10.36,2.6
62,154.6,19.54,3.52
63,206.03,10.91,2.58
64,420.97,8.87,34.49
65,112.33,6.48,2.38
66,197.37,23.1,3.52
67,89.35,23.72,2.42
68,165.01,5.66,2.2
69,205.13,14.17,2.72
70,69.75,22.31,2.23
71,1102.44,2.36,27.33
72,931.47,9.03,37.83
73,1248.94,2.04,26.1
74,183.91,19.18,4.0
75,589.62,6.02,28.02
76,1148.27,2.26,50.54
77,282.58,9.41,2.74
78,505.24,7.21,33.45
79,835.43,4.07,24.96
80,311.44,19.58,3.0
81,777.28,11.76,38.42
82,906.35,1.97,33.32
83,408.22,5.32,42.85
84,467.56,2.41,44.77
85,77.74,11.3,3.73
86,215.49,14.33,3.85
87,1068.92,1.92,22.13
88,250.12,7.64,2.31
89,296.08,7.95,19.84
90,1083.2,2.06,38.07
91,200.99,8.2,2.6
92,646.48,7.35,15.34
93,135.58,10.98,2.17
94,171.84,6.1,10.55
95,647.71,1.72,26.99
96,1320.8,2.63,33.58
97,876.25,17.88,14.76
98,864.9,2.32,16.48
99,910.9,2.27,24.66
100,1051.94,2.12,36.33
101,1352.05,1.92,18.83
102,418.43,2.07,29.67
103,852.8,2.27,37.32
104,338.16,3.69,17.04
105,1230.93,2.46,59.9
106,447.52,3.59,43.13
107,209.24,9.59,4.29
108,911.66,2.43,45.93
109,74.99,8.76,1.89
110,250.15,13.63,2.81
111,209.22,21.64,3.45
112,416.76,1.62,10.35
113,1103.92,1.74,21.83
114,128.13,14.05,2.31
115,506.99,2.62,22.73
116,425.74,1.84,14.51
117,729.24,1.74,23.24
118,884.04,2.14,20.79
119,1811.05,2.21,24.02
120,1213.44,2.12,37.37
121,675.62,4.32,43.81
122,516.75,1.71,16.86
123,1404.25,1.72,41.67
124,73.86,14.53,2.5
125,838.27,2.38,29.81
126,284.28,11.09,3.24
127,154.93,8.04,5.04
128,397.79,1.79,17.29
129,173.61,9.27,4.66
130,137.49,7.78,2.38
131,124.73,12.02,3.54
132,671.76,3.38,21.55
133,835.12,2.28,32.92
134,1071.94,4.0,60.83
135,64.6,17.48,2.69
136,78.79,23.28,2.29
137,1274.16,1.67,22.52
138,95.93,23.82,3.34
139,1455.95,1.79,29.38
140,988.72,1.95,31.95
141,137.36,6.36,2.22
142,146.37,3.59,2.08
143,600.98,1.84,23.09
144,1093.62,2.38,30.1
145,557.82,2.17,17.59
146,357.04,1.62,11.63
147,137.9,25.03,3.96
148,626.1,2.42,14.76
149,1137.85,1.94,33.61
150,933.87,2.73,11.56
151,1001.86,3.3,34.05
152,231.97,10.59,2.31
153,438.88,5.72,20.98
154,1272.55,1.88,18.16
155,871.05,1.92,28.84
156,46.2,13.26,3.56
157,142.54,7.29,2.51
158,162.98,29.42,3.14
159,774.79,1.72,19.69
160,224.26,10.24,2.46
161,706.9,4.46,16.32
162,1352.44,2.44,31.74
163,1030.39,2.18,34.88
164,145.21,7.11,2.02
165,682.82,2.1,24.99
166,628.56,2.14,15.2
167,1046.01,1.88,25.06
168,423.6,2.51,17.71
169,1090.61,1.96,24.42
170,185.48,13.55,30.64
171,177.69,11.9,3.04
172,153.39,10.07,2.16
173,305.71,15.3,2.56
174,634.5,4.43,26.94
175,464.53,1.67,17.8
176,163.36,3.52,2.14
177,889.6,1.94,27.12
178,126.27,7.56,1.96
179,1034.12,2.63,36.27
180,319.86,3.07,33.19
181,1318.98,1.79,29.67
182,179.12,8.16,6.82
183,888.86,1.85,32.48
184,800.56,2.06,30.25
185,276.54,10.45,3.19
186,160.0,12.0,2.0
187,468.52,2.08,40.83
188,63.32,11.51,1.88
189,1211.49,2.02,17.84
190,405.6,3.23,35.16
191,192.5,19.81,4.27
192,208.42,15.08,20.54
193,1019.6,3.25,34.52
194,1151.7,1.6,27.08
195,105.74,37.57,3.99
196,1141.48,1.82,36.86
197,1476.33,1.85,24.75
198,258.0,2.36,13.35
199,123.34,26.42,3.01
200,157.24,3.7,2.09
201,173.25,6.99,2.19
202,204.31,9.91,2.19
203,202.23,8.44,2.55
204,192.17,6.98,3.98
205,381.79,6.65,27.69
206,220.34,2.35,22.89
207,476.05,8.85,21.82
208,282.44,3.94,2.27
209,66.38,6.33,1.79
210,678.31,4.57,23.98
211,1296.44,3.83,30.62
212,1012.41,5.11,34.67
213,185.06,19.16,5.13
214,114.25,5.58,3.0
215,507.96,3.11,35.12
216,141.5,7.85,2.51
217,83.67,5.25,2.25
218,1200.33,2.69,30.61
219,64.36,20.48,3.28
220,1019.47,3.81,37.23
221,89.92,14.15,1.75
222,461.18,7.08,32.38
223,347.59,4.15,19.52
224,987.43,119.41,18.56
225,654.16,2.04,12.6
226,224.9,19.52,7.18
227,711.47,8.09,33.79
228,1177.66,2.6,29.54
229,1002.38,2.54,31.5
230,469.54,9.21,16.4
231,1018.74,10.86,51.73
232,557.58,338.71,21.73
233,189.98,4.4,2.7
234,42.75,17.95,2.4
235,556.0,9.26,21.42
236,176.2,16.8,4.0
237,131.13,5.33,2.61
238,171.65,7.98,2.53
239,105.12,8.51,2.28
240,119.26,4.71,1.95
241,305.0,11.15,4.09
242,144.25,11.14,4.29
243,734.06,3.19,32.8
244,136.56,10.67,2.4
245,1138.74,6.16,35.14
246,812.21,1.96,32.47
247,656.41,3.43,31.15
248,159.71,12.66,3.78
249,77.15,8.09,2.12
250,885.42,4.11,28.85
251,1054.43,3.37,42.49
252,171.88,9.55,5.48
253,122.49,5.88,3.71
254,1179.56,2.32,26.66
255,1375.76,1.76,37.11
256,145.51,5.52,2.65
257,226.1,6.62,4.84
258,780.39,9.77,33.1
259,239.44,7.21,2.6
260,259.62,3.44,2.53
261,876.94,6.08,18.6
262,207.2,12.16,3.43
263,257.34,9.42,3.1
264,897.37,7.65,23.3
265,85.36,6.04,1.64
266,619.08,9.32,18.01
267,236.99,10.96,4.19
268,107.0,9.34,2.66
269,183.58,3.32,2.21
270,159.7,8.14,3.43
271,79.04,18.93,2.71
272,357.5,26.4,4.21
273,133.61,4.89,1.81
274,157.69,3.35,2.44
275,138.38,7.98,3.59
276,130.79,9.79,5.62
277,92.63,18.7,4.76
278,117.89,38.53,2.39
279,115.47,3.93,3.34
280,290.19,9.1,3.88
281,132.56,7.67,3.5
282,218.59,3.31,2.33
283,156.3,5.01,2.49
284,414.0,11.0,8.0
285,158.93,4.18,2.47
286,118.41,6.47,2.2
287,133.76,5.86,3.28
288,194.24,3.38,2.5
289,140.11,20.11,2.6
290,80.84,8.73,2.03
291,271.35,7.81,3.07
292,111.27,5.46,2.88
293,103.09,4.49,2.23
294,354.46,12.05,6.45
295,119.03,9.37,2.35
296,383.59,6.78,3.18
297,337.98,5.22,2.37
298,42.18,13.72,2.64
299,162.88,4.75,2.43
300,108.0,2.5,2.0
301,88.36,4.65,2.76
302,138.85,4.84,4.42
303,332.5,5.94,2.81
304,107.07,21.3,3.05
305,116.1,3.67,3.67
306,193.98,6.31,3.01
307,113.25,7.92,3.62
308,335.86,3.34,2.78
309,101.45,9.91,2.67
310,146.0,7.33,1.0
